Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Boosting CUDA Applications with CPU–GPU Hybrid Computing","International Journal of Parallel Programming","","42","2","10.1007/s10766-013-0252-y","Changmin LeeWon Woo RoJean-Luc Gaudiot","2014","http://link.springer.com/article/10.1007/s10766-013-0252-y","Article"
"Resource-efficient utilization of CPU/GPU-based heterogeneous supercomputers for Bayesian phylogenetic inference","The Journal of Supercomputing","","66","1","10.1007/s11227-013-0911-1","Jun ChaiHuayou SuMei WenXing CaiNan WuChunyuan Zhang","2013","http://link.springer.com/article/10.1007/s11227-013-0911-1","Article"
"An efficient parallel collaborative filtering algorithm on multi-GPU platform","The Journal of Supercomputing","","72","6","10.1007/s11227-014-1333-4","Zhongya WangYing LiuSteve Chiu","2016","http://link.springer.com/article/10.1007/s11227-014-1333-4","Article"
"Dual buffer rotation four-stage pipeline for CPU–GPU cooperative computing","Soft Computing","","23","3","10.1007/s00500-017-2795-0","Tao LiQiankun DongYifeng WangXiaoli GongYulu Yang","2019","http://link.springer.com/article/10.1007/s00500-017-2795-0","Article"
"A Comparative Survey of Big Data Computing and HPC: From a Parallel Programming Model to a Cluster Architecture","International Journal of Parallel Programming","","","","10.1007/s10766-021-00717-y","Fei YinFeng Shi","2021","http://link.springer.com/article/10.1007/s10766-021-00717-y","Article"
"GPU-accelerated registration of hyperspectral images using KAZE features","The Journal of Supercomputing","","76","12","10.1007/s11227-020-03214-0","Álvaro OrdóñezFrancisco ArgüelloDora B. HerasBegüm Demir","2020","http://link.springer.com/article/10.1007/s11227-020-03214-0","Article"
"On GPU’s viability as a middleware accelerator","Cluster Computing","","12","2","10.1007/s10586-009-0076-0","Samer Al-KiswanyAbdullah GharaibehElizeu Santos-NetoMatei Ripeanu","2009","http://link.springer.com/article/10.1007/s10586-009-0076-0","Article"
"GPU acceleration of subgraph isomorphism search in large scale graph","Journal of Central South University","","22","6","10.1007/s11771-015-2748-7","Bo Yang 杨博Kai Lu 卢凯Ying-hui Gao 高颖慧Xiao-ping Wang 王小平Kai Xu 徐凯","2015","http://link.springer.com/article/10.1007/s11771-015-2748-7","Article"
"Compiler support for general-purpose computation on GPUs","The Journal of Supercomputing","","50","1","10.1007/s11227-008-0252-7","Yu-Te LinPeng-Sheng Chen","2009","http://link.springer.com/article/10.1007/s11227-008-0252-7","Article"
"CUDA compatible GPU cards as efficient hardware accelerators for Smith-Waterman sequence alignment","BMC Bioinformatics","","9","2","10.1186/1471-2105-9-S2-S10","Svetlin A ManavskiGiorgio Valle","2008","http://link.springer.com/article/10.1186/1471-2105-9-S2-S10","Article"
"Implementation and comparison of binary thinning algorithms on GPU","Computing","","101","8","10.1007/s00607-018-0653-2","Lynda Ben BoudaoudBasel SolaimanAbdelkamel Tari","2019","http://link.springer.com/article/10.1007/s00607-018-0653-2","Article"
"Parallel programing templates for remote sensing image processing on GPU architectures: design and implementation","Computing","","98","1 - 2","10.1007/s00607-014-0392-y","Yan MaLajiao ChenPeng LiuKe Lu","2016","http://link.springer.com/article/10.1007/s00607-014-0392-y","Article"
"Multicore and GPU algorithms for Nussinov RNA folding","BMC Bioinformatics","","15","8","10.1186/1471-2105-15-S8-S1","Junjie LiSanjay RankaSartaj Sahni","2014","http://link.springer.com/article/10.1186/1471-2105-15-S8-S1","Article"
"Efficient GPU-based parallelization of solvation calculation for the blind docking problem","The Journal of Supercomputing","","76","3","10.1007/s11227-019-02834-5","Hocine SaadiNadia Nouali TaboudjematAbdellatif RahmounBaldomero imbernónHoracio Pérez-SánchezJosé M. Cecilia","2020","http://link.springer.com/article/10.1007/s11227-019-02834-5","Article"
"Correlation acceleration in GNSS software receivers using a CUDA-enabled GPU","GPS Solutions","","21","1","10.1007/s10291-016-0516-2","Liangchun XuNesreen I. ZiedanXiaoji NiuWenfei Guo","2017","http://link.springer.com/article/10.1007/s10291-016-0516-2","Article"
"Swarm model checking on the GPU","International Journal on Software Tools for Technology Transfer","","22","5","10.1007/s10009-020-00576-x","Richard DeFranciscoShenghsun ChoMichael FerdmanScott A. Smolka","2020","http://link.springer.com/article/10.1007/s10009-020-00576-x","Article"
"A compound OpenMP/MPI program development toolkit for hybrid CPU/GPU clusters","The Journal of Supercomputing","","66","1","10.1007/s11227-013-0912-0","Hung-Fu LiTyng-Yeu LiangJun-Yao Chiu","2013","http://link.springer.com/article/10.1007/s11227-013-0912-0","Article"
"Accelerating MapReduce framework on multi-GPU systems","Cluster Computing","","17","2","10.1007/s10586-013-0276-5","Hai JiangYi ChenZhi QiaoKuan-Ching LiWonWoo RoJean-Luc Gaudiot","2014","http://link.springer.com/article/10.1007/s10586-013-0276-5","Article"
"On construction of a virtual GPU cluster with InfiniBand and 10 Gb Ethernet virtualization","The Journal of Supercomputing","","74","12","10.1007/s11227-018-2484-5","Chao-Tung YangShuo-Tsung ChenYu-Sheng LoEndah KristianiYu-Wei Chan","2018","http://link.springer.com/article/10.1007/s11227-018-2484-5","Article"
"Techniques of medical image processing and analysis accelerated by high-performance computing: a systematic literature review","Journal of Real-Time Image Processing","","16","6","10.1007/s11554-017-0734-z","Carlos A. S. J. GuloAntonio C. SementilleJoão Manuel R. S. Tavares","2019","http://link.springer.com/article/10.1007/s11554-017-0734-z","Article"
"A survey of graph processing on graphics processing units","The Journal of Supercomputing","","74","5","10.1007/s11227-017-2225-1","Ha-Nguyen TranErik Cambria","2018","http://link.springer.com/article/10.1007/s11227-017-2225-1","Article"
"An study of the effect of process malleability in the energy efficiency on GPU-based clusters","The Journal of Supercomputing","","76","1","10.1007/s11227-019-03034-x","Sergio IserteKrzysztof Rojek","2020","http://link.springer.com/article/10.1007/s11227-019-03034-x","Article"
"Performance-aware composition framework for GPU-based systems","The Journal of Supercomputing","","71","12","10.1007/s11227-014-1105-1","Usman DastgeerChristoph Kessler","2015","http://link.springer.com/article/10.1007/s11227-014-1105-1","Article"
"Novel parallel hybrid genetic algorithms on the GPU for the generalized assignment problem","The Journal of Supercomputing","","78","1","10.1007/s11227-021-03882-6","Huang Zhi-BinFu Guang-TaoDong Dan-YangXiao ChenDing Zhe-LunDai Zhi-Tao","2022","http://link.springer.com/article/10.1007/s11227-021-03882-6","Article"
"Box-counting algorithm on GPU and multi-core CPU: an OpenCL cross-platform study","The Journal of Supercomputing","","65","3","10.1007/s11227-013-0885-z","Jesús JiménezJuan Ruiz de Miras","2013","http://link.springer.com/article/10.1007/s11227-013-0885-z","Article"
"Numerical investigation of supersonic transverse jet interaction on CPU/GPU system","Journal of the Brazilian Society of Mechanical Sciences and Engineering","","42","2","10.1007/s40430-019-2160-6","Jianqi LaiZhengyu TianHang YuHua Li","2020","http://link.springer.com/article/10.1007/s40430-019-2160-6","Article"
"Ignite-GPU: a GPU-enabled in-memory computing architecture on clusters","The Journal of Supercomputing","","77","3","10.1007/s11227-020-03390-z","Amir Hossein SojoodiMajid Salimi BeniFarshad Khunjush","2021","http://link.springer.com/article/10.1007/s11227-020-03390-z","Article"
"MVAPICH2-GPU: optimized GPU to GPU communication for InfiniBand clusters","Computer Science - Research and Development","","26","3 - 4","10.1007/s00450-011-0171-3","Hao WangSreeram PotluriMiao LuoAshish Kumar SinghSayantan SurDhabaleswar K. Panda","2011","http://link.springer.com/article/10.1007/s00450-011-0171-3","Article"
"TH-1: China’s first petaflop supercomputer","Frontiers of Computer Science in China","","4","4","10.1007/s11704-010-0383-x","Xuejun YangXiangke LiaoWeixia XuJunqiang SongQingfeng HuJinshu SuLiquan XiaoKai LuQiang DouJuping JiangCanqun Yang","2010","http://link.springer.com/article/10.1007/s11704-010-0383-x","Article"
"A Halide-based Synergistic Computing Framework for Heterogeneous Systems","Journal of Signal Processing Systems","","91","3 - 4","10.1007/s11265-017-1283-1","Shih-Wei LiaoShao-Yun KuangChia-Lung KaoChia-Heng Tu","2019","http://link.springer.com/article/10.1007/s11265-017-1283-1","Article"
"A GPU-based algorithm for fast node label learning in large and unbalanced biomolecular networks","BMC Bioinformatics","","19","10","10.1186/s12859-018-2301-4","Marco FrascaGiuliano GrossiJessica GliozzoMarco MesitiMarco NotaroPaolo PerlascaAlessandro PetriniGiorgio Valentini","2018","http://link.springer.com/article/10.1186/s12859-018-2301-4","Article"
"The GPU on the simulation of cellular computing models","Soft Computing","","16","2","10.1007/s00500-011-0716-1","José M. CeciliaJosé M. GarcíaGinés D. GuerreroMiguel A. Martínez-del-AmorMario J. Pérez-JiménezManuel Ujaldón","2012","http://link.springer.com/article/10.1007/s00500-011-0716-1","Article"
"SkelCL: a high-level extension of OpenCL for multi-GPU systems","The Journal of Supercomputing","","69","1","10.1007/s11227-014-1213-y","Michel SteuwerSergei Gorlatch","2014","http://link.springer.com/article/10.1007/s11227-014-1213-y","Article"
"GPU-Friendly Parallel Genome Matching with Tiled Access and Reduced State Transition Table","International Journal of Parallel Programming","","41","4","10.1007/s10766-012-0234-5","Yunho OhDoohwan OhWon W. Ro","2013","http://link.springer.com/article/10.1007/s10766-012-0234-5","Article"
"GPU Accelerated Digital Volume Correlation","Experimental Mechanics","","56","2","10.1007/s11340-015-0091-4","T. WangZ. JiangQ. KemaoF. LinS. H. Soon","2016","http://link.springer.com/article/10.1007/s11340-015-0091-4","Article"
"OpenMC: Towards Simplifying Programming for TianHe Supercomputers","Journal of Computer Science and Technology","","29","3","10.1007/s11390-014-1447-4","Xiang-Ke LiaoCan-Qun YungTao TangHui-Zhan YiFeng WangQiang WuJingling Xue","2014","http://link.springer.com/article/10.1007/s11390-014-1447-4","Article"
"Non-rigid Registration for Large Sets of Microscopic Images on Graphics Processors","Journal of Signal Processing Systems","","55","1 - 3","10.1007/s11265-008-0208-4","Antonio RuizManuel UjaldonLee CooperKun Huang","2009","http://link.springer.com/article/10.1007/s11265-008-0208-4","Article"
"PartialRC: A Partial Recomputing Method for Efficient Fault Recovery on GPGPUs","Journal of Computer Science and Technology","","27","2","10.1007/s11390-012-1220-5","Xin-Hai XuXue-Jun YangJing-Ling XueYu-Fei LinYi-Song Lin","2012","http://link.springer.com/article/10.1007/s11390-012-1220-5","Article"
"Comparison of analytical and ML-based models for predicting CPU–GPU data transfer time","Computing","","102","9","10.1007/s00607-019-00780-x","Ali RiahiAbdorreza SavadiMahmoud Naghibzadeh","2020","http://link.springer.com/article/10.1007/s00607-019-00780-x","Article"
"Strategies for maximizing utilization on multi-CPU and multi-GPU heterogeneous architectures","The Journal of Supercomputing","","70","2","10.1007/s11227-014-1200-3","Angeles NavarroAntonio VilchesFrancisco CorberaRafael Asenjo","2014","http://link.springer.com/article/10.1007/s11227-014-1200-3","Article"
"An Efficient GPU-Based Multiple Pattern Matching Algorithm for Packet Filtering","Journal of Signal Processing Systems","","86","2 - 3","10.1007/s11265-016-1139-0","Che-Lun HungChun-Yuan LinPo-Chang Wu","2017","http://link.springer.com/article/10.1007/s11265-016-1139-0","Article"
"Performance analysis of a novel GPU computation-to-core mapping scheme for robust facet image modeling","Journal of Real-Time Image Processing","","10","3","10.1007/s11554-012-0272-7","Seung In ParkYong CaoLayne T. WatsonFrancis Quek","2015","http://link.springer.com/article/10.1007/s11554-012-0272-7","Article"
"Transparent partial page migration between CPU and GPU","Frontiers of Computer Science","","14","3","10.1007/s11704-018-7386-4","Shiqing ZhangZheng QinYaohua YangLi ShenZhiying Wang","2019","http://link.springer.com/article/10.1007/s11704-018-7386-4","Article"
"Cardiac simulation on multi-GPU platform","The Journal of Supercomputing","","59","3","10.1007/s11227-010-0540-x","Venkata Krishna NimmagaddaAli AkogluSalim HaririTalal Moukabary","2012","http://link.springer.com/article/10.1007/s11227-010-0540-x","Article"
"GPU-based parallel computation for structural dynamic response analysis with CUDA","Journal of Mechanical Science and Technology","","28","10","10.1007/s12206-014-0928-2","Dong-Keun KangChang-Wan KimHyun-Ik Yang","2014","http://link.springer.com/article/10.1007/s12206-014-0928-2","Article"
"Hierarchical parallel processing of large scale data clustering on a PC cluster with GPU co-processing","The Journal of Supercomputing","","36","3","10.1007/s11227-006-8294-1","Hiroyuki TakizawaHiroaki Kobayashi","2006","http://link.springer.com/article/10.1007/s11227-006-8294-1","Article"
"Implementation of GPU virtualization using PCI pass-through mechanism","The Journal of Supercomputing","","68","1","10.1007/s11227-013-1034-4","Chao-Tung YangJung-Chun LiuHsien-Yi WangChing-Hsien Hsu","2014","http://link.springer.com/article/10.1007/s11227-013-1034-4","Article"
"cuGimli: optimized implementation of the Gimli authenticated encryption and hash function on GPU for IoT applications","Cluster Computing","","25","1","10.1007/s10586-021-03415-z","KyungHyun HanWai-Kong LeeSeong Oun Hwang","2022","http://link.springer.com/article/10.1007/s10586-021-03415-z","Article"
"A high-performance and energy-efficient exhaustive key search approach via GPU on DES-like cryptosystems","The Journal of Supercomputing","","74","1","10.1007/s11227-017-2120-9","Armin AhmadzadehOmid HajihassaniSaeid Gorgin","2018","http://link.springer.com/article/10.1007/s11227-017-2120-9","Article"
"Fast implementation of block ciphers and PRNGs in Maxwell GPU architecture","Cluster Computing","","19","1","10.1007/s10586-016-0536-2","Wai-Kong LeeHon-Sang CheongRaphael C.-W. PhanBok-Min Goi","2016","http://link.springer.com/article/10.1007/s10586-016-0536-2","Article"
"MPtostream: an OpenMP compiler for CPU-GPU heterogeneous parallel systems","Science China Information Sciences","","55","9","10.1007/s11432-011-4342-4","XueJun YangTao TangGuiBin WangJia JiaXinHai Xu","2012","http://link.springer.com/article/10.1007/s11432-011-4342-4","Article"
"Toward a software transactional memory for heterogeneous CPU–GPU processors","The Journal of Supercomputing","","75","8","10.1007/s11227-018-2347-0","Alejandro VillegasAngeles NavarroRafael AsenjoOscar Plata","2019","http://link.springer.com/article/10.1007/s11227-018-2347-0","Article"
"Performance of CPU/GPU compiler directives on ISO/TTI kernels","Computing","","96","12","10.1007/s00607-013-0367-4","Sayan GhoshTerrence LiaoHenri CalandraBarbara M. Chapman","2014","http://link.springer.com/article/10.1007/s00607-013-0367-4","Article"
"Accelerating Data Analytics on Integrated GPU Platforms via Runtime Specialization","International Journal of Parallel Programming","","46","2","10.1007/s10766-016-0482-x","Naila FarooquiIndrajit RoyYuan ChenVanish TalwarRajkishore BarikBrian LewisTatiana ShpeismanKarsten Schwan","2018","http://link.springer.com/article/10.1007/s10766-016-0482-x","Article"
"Transform coding on programmable stream processors","The Journal of Supercomputing","","45","1","10.1007/s11227-008-0192-2","Haiyan LiChunyuan ZhangLi LiJu Ren","2008","http://link.springer.com/article/10.1007/s11227-008-0192-2","Article"
"Highly Parallelable Bidimensional Median Filter for Modern Parallel Programming Models","Journal of Signal Processing Systems","","71","3","10.1007/s11265-012-0715-1","Ricardo M. SánchezPaul A. Rodríguez","2013","http://link.springer.com/article/10.1007/s11265-012-0715-1","Article"
"GPU-based image method for room impulse response calculation","Multimedia Tools and Applications","","75","9","10.1007/s11042-015-2943-4","Zhong-hua FuJian-wei Li","2016","http://link.springer.com/article/10.1007/s11042-015-2943-4","Article"
"An analytical GPU performance model for 3D stencil computations from the angle of data traffic","The Journal of Supercomputing","","71","7","10.1007/s11227-015-1392-1","Huayou SuXing CaiMei WenChunyuan Zhang","2015","http://link.springer.com/article/10.1007/s11227-015-1392-1","Article"
"Design and evaluation of multi-GPU enabled Multiple Symbol Detection algorithm","The Journal of Supercomputing","","72","6","10.1007/s11227-015-1475-z","Ying LiuHaixin ZhengRenliang ZhaoLiheng Jian","2016","http://link.springer.com/article/10.1007/s11227-015-1475-z","Article"
"GPU-Accelerated Simulation of Massive Spatial Data Based on the Modified Planar Rotator Model","Mathematical Geosciences","","52","1","10.1007/s11004-019-09835-3","Milan ŽukovičMichal BorovskýMatúš LachDionissios T. Hristopulos","2020","http://link.springer.com/article/10.1007/s11004-019-09835-3","Article"
"CUDASW++ 3.0: accelerating Smith-Waterman protein database search by coupling CPU and GPU SIMD instructions","BMC Bioinformatics","","14","1","10.1186/1471-2105-14-117","Yongchao LiuAdrianto WirawanBertil Schmidt","2013","http://link.springer.com/article/10.1186/1471-2105-14-117","Article"
"DOPA: GPU-based protein alignment using database and memory access optimizations","BMC Research Notes","","4","1","10.1186/1756-0500-4-261","Laiq HasanMarijn KentieZaid Al-Ars","2011","http://link.springer.com/article/10.1186/1756-0500-4-261","Article"
"GPU implementations of a relaxation scheme for image partitioning: GLSL versus CUDA","Computing and Visualization in Science","","14","5","10.1007/s00791-012-0176-x","Tetyana IvanovskaLars LinsenHorst K. HahnHenry Völzke","2011","http://link.springer.com/article/10.1007/s00791-012-0176-x","Article"
"Addressing Memory and Speed Problems in Nondestructive Defect Characterization: Element-by-Element Processing on a GPU","Journal of Nondestructive Evaluation","","34","2","10.1007/s10921-015-0282-z","S. SivasuthanV. U. KarthikA. RahunanthanP. JayakumarR. S. ThyagarajanLalita UdpaS. R. H. Hoole","2015","http://link.springer.com/article/10.1007/s10921-015-0282-z","Article"
"GPU-accelerated computing for Lagrangian coherent structures of multi-body gravitational regimes","Astrophysics and Space Science","","362","4","10.1007/s10509-017-3050-y","Mingpei LinMing XuXiaoyu Fu","2017","http://link.springer.com/article/10.1007/s10509-017-3050-y","Article"
"Addressing GPU On-Chip Shared Memory Bank Conflicts Using Elastic Pipeline","International Journal of Parallel Programming","","41","3","10.1007/s10766-012-0201-1","Chunyang GouGeorgi N. Gaydadjiev","2013","http://link.springer.com/article/10.1007/s10766-012-0201-1","Article"
"Classification and disease probability prediction via machine learning programming based on multi-GPU cluster MapReduce system","The Journal of Supercomputing","","73","5","10.1007/s11227-016-1883-8","Jinjing LiQingkui ChenBocheng Liu","2017","http://link.springer.com/article/10.1007/s11227-016-1883-8","Article"
"A Generic Paradigm for Accelerating Laplacian-Based Mesh Smoothing on the GPU","Arabian Journal for Science and Engineering","","39","11","10.1007/s13369-014-1406-y","Gang MeiJohn C. TipperNengxiong Xu","2014","http://link.springer.com/article/10.1007/s13369-014-1406-y","Article"
"Scaling up MapReduce-based Big Data Processing on Multi-GPU systems","Cluster Computing","","18","1","10.1007/s10586-014-0400-1","Hai JiangYi ChenZhi QiaoTien-Hsiung WengKuan-Ching Li","2015","http://link.springer.com/article/10.1007/s10586-014-0400-1","Article"
"GPU acceleration of Fitch’s parsimony on protein data: from Kepler to Turing","The Journal of Supercomputing","","76","12","10.1007/s11227-020-03225-x","Sergio Santander-JiménezMiguel A. Vega-RodríguezAntonio Zahinos-MárquezLeonel Sousa","2020","http://link.springer.com/article/10.1007/s11227-020-03225-x","Article"
"A Comparative Study and Evaluation of Parallel Programming Models for Shared-Memory Parallel Architectures","New Generation Computing","","31","3","10.1007/s00354-013-0301-5","Luis Miguel SanchezJavier FernandezRafael SotomayorSoledad EscolarJ. Daniel. Garcia","2013","http://link.springer.com/article/10.1007/s00354-013-0301-5","Article"
"Leveraging HPC accelerator architectures with modern techniques — hydrologic modeling on GPUs with ParFlow","Computational Geosciences","","25","5","10.1007/s10596-021-10051-4","Jaro HokkanenStefan KolletJiri KrausAndreas HertenMarkus HrywniakDirk Pleiter","2021","http://link.springer.com/article/10.1007/s10596-021-10051-4","Article"
"Programming for scientific computing on peta-scale heterogeneous parallel systems","Journal of Central South University","","20","5","10.1007/s11771-013-1602-z","Can-qun Yang 杨灿群Qiang Wu 吴强Tao Tang 唐滔Feng Wang 王锋Jing-ling Xue 薛京灵","2013","http://link.springer.com/article/10.1007/s11771-013-1602-z","Article"
"GPU-based leaves contour generation algorithm","Journal of Shanghai University (English Edition)","","15","5","10.1007/s11741-011-0754-3","Jing-qiao Zhang 张景峤Ting-ting Wang 王廷婷","2011","http://link.springer.com/article/10.1007/s11741-011-0754-3","Article"
"Approximate similarity search for online multimedia services on distributed CPU–GPU platforms","The VLDB Journal","","23","3","10.1007/s00778-013-0329-7","George TeodoroEduardo ValleNathan MarianoRicardo TorresWagner Meira JrJoel H. Saltz","2014","http://link.springer.com/article/10.1007/s00778-013-0329-7","Article"
"GPU-based efficient join algorithms on Hadoop","The Journal of Supercomputing","","77","1","10.1007/s11227-020-03262-6","Hongzhi WangNing LiZheng WangJianing Li","2021","http://link.springer.com/article/10.1007/s11227-020-03262-6","Article"
"Fast kNN query processing over a multi-node GPU environment","The Journal of Supercomputing","","","","10.1007/s11227-021-03975-2","Ricardo J. BarrientosJavier A. RiquelmeRuber Hernández-GarcíaCristóbal A. NavarroWladimir Soto-Silva","2021","http://link.springer.com/article/10.1007/s11227-021-03975-2","Article"
"Stencil computations on heterogeneous platforms for the Jacobi method: GPUs versus Cell BE","The Journal of Supercomputing","","62","2","10.1007/s11227-012-0749-y","José M. CeciliaJosé L. AbellánJuan FernándezManuel E. AcacioJosé M. GarcíaManuel Ujaldón","2012","http://link.springer.com/article/10.1007/s11227-012-0749-y","Article"
"Optimizing dataflow applications on heterogeneous environments","Cluster Computing","","15","2","10.1007/s10586-010-0151-6","George TeodoroTimothy D. R. HartleyUmit V. CatalyurekRenato Ferreira","2012","http://link.springer.com/article/10.1007/s10586-010-0151-6","Article"
"Introducing and Implementing the Allpairs Skeleton for Programming Multi-GPU Systems","International Journal of Parallel Programming","","42","4","10.1007/s10766-013-0265-6","Michel SteuwerMalte FrieseSebastian AlbersSergei Gorlatch","2014","http://link.springer.com/article/10.1007/s10766-013-0265-6","Article"
"Implementation of a High Throughput 3GPP Turbo Decoder on GPU","Journal of Signal Processing Systems","","65","2","10.1007/s11265-011-0617-7","Michael WuYang SunGuohui WangJoseph R. Cavallaro","2011","http://link.springer.com/article/10.1007/s11265-011-0617-7","Article"
"A real-time implementation of SIFT using GPU","Journal of Real-Time Image Processing","","14","2","10.1007/s11554-014-0446-6","K. Aniruddha AcharyaR. Venkatesh BabuSathish S. Vadhiyar","2018","http://link.springer.com/article/10.1007/s11554-014-0446-6","Article"
"Optimizing tensor contraction expressions for hybrid CPU-GPU execution","Cluster Computing","","16","1","10.1007/s10586-011-0179-2","Wenjing MaSriram KrishnamoorthyOreste VillaKarol KowalskiGagan Agrawal","2013","http://link.springer.com/article/10.1007/s10586-011-0179-2","Article"
"Accelerated parametric chamfer alignment using a parallel, pipelined GPU realization","Journal of Real-Time Image Processing","","16","5","10.1007/s11554-017-0668-5","Ahmed ElliethyGaurav Sharma","2019","http://link.springer.com/article/10.1007/s11554-017-0668-5","Article"
"Reveal training performance mystery between TensorFlow and PyTorch in the single GPU environment","Science China Information Sciences","","65","1","10.1007/s11432-020-3182-1","Hulin DaiXuan PengXuanhua ShiLigang HeQian XiongHai Jin","2021","http://link.springer.com/article/10.1007/s11432-020-3182-1","Article"
"GPU computing in discrete optimization. Part I: Introduction to the GPU","EURO Journal on Transportation and Logistics","","2","1 - 2","10.1007/s13676-013-0025-1","André R. BrodtkorbTrond R. HagenChristian SchulzGeir Hasle","2013","http://link.springer.com/article/10.1007/s13676-013-0025-1","Article"
"Accelerating geospatial analysis on GPUs using CUDA","Journal of Zhejiang University SCIENCE C","","12","12","10.1631/jzus.C1100051","Ying-jie XiaLi KuangXiu-mei Li","2011","http://link.springer.com/article/10.1631/jzus.C1100051","Article"
"Multi-device Controllers: A Library to Simplify Parallel Heterogeneous Programming","International Journal of Parallel Programming","","47","1","10.1007/s10766-017-0542-x","Ana Moreton-FernandezArturo Gonzalez-EscribanoDiego R. Llanos","2019","http://link.springer.com/article/10.1007/s10766-017-0542-x","Article"
"Simulation of bevel gear cutting with GPGPUs—performance and productivity","Computer Science - Research and Development","","26","3 - 4","10.1007/s00450-011-0158-0","Sandra WienkeDmytro PlotnikovDieter an MeyChristian BischofArio HardjosuwitoChristof GorgelsChristian Brecher","2011","http://link.springer.com/article/10.1007/s00450-011-0158-0","Article"
"A parallel solving method for block-tridiagonal equations on CPU–GPU heterogeneous computing systems","The Journal of Supercomputing","","73","5","10.1007/s11227-016-1881-x","Wangdong YangKenli LiKeqin Li","2017","http://link.springer.com/article/10.1007/s11227-016-1881-x","Article"
